"Timestamp","Sandford Hydro (KW)","1800TH (m3/s)","1502TH/U (mAOD)","1303TH/U (mAOD)","1303TH/D (mAOD)","1301TH/U (mAOD)","1301TH/D (mAOD)","1100TH (m3/s)"
"2022-03-06 03:30:00",255.9668000000000000,54.7050000000000000,53.9079999999999940,56.5560000000000000,55.0130000000000000,59.0000000000000000,58.3730000000000000,27.3870000000000000
"2022-03-06 03:15:00",255.3043898305084746,55.3670000000000000,53.9100000000000000,56.5540000000000000,55.0190000000000000,59.0040000000000000,58.3780000000000000,27.5470000000000000
"2022-03-06 03:00:00",255.8155000000000000,55.4170000000000000,53.9100000000000000,56.5560000000000000,55.0190000000000000,59.0010000000000000,58.3790000000000000,27.4350000000000000
"2022-03-06 02:45:00",256.2008387096774194,55.4740000000000000,53.9100000000000000,56.5550000000000000,55.0160000000000000,59.0000000000000000,58.3730000000000000,27.5450000000000000
"2022-03-06 02:30:00",256.4619508196721311,55.6180000000000000,53.9130000000000000,56.5540000000000000,55.0220000000000000,59.0010000000000000,58.3769999999999950,27.4790000000000000
"2022-03-06 02:15:00",256.7551166666666667,55.6930000000000000,53.9109999999999940,56.5560000000000000,55.0220000000000000,59.0010000000000000,58.3840000000000000,27.5110000000000000
"2022-03-06 02:00:00",256.9871639344262295,55.7250000000000000,53.9139999999999940,56.5600000000000000,55.0220000000000000,59.0070000000000000,58.3810000000000000,27.5680000000000000
"2022-03-06 01:45:00",257.1029666666666667,55.9260000000000000,53.9150000000000000,56.5680000000000000,55.0190000000000000,59.0019999999999950,58.3870000000000000,27.5750000000000000
"2022-03-06 01:30:00",257.5747377049180328,55.8990000000000000,53.9169999999999940,56.5560000000000000,55.0220000000000000,59.0060000000000000,58.3850000000000000,27.6550000000000000
"2022-03-06 01:15:00",259.2491379310344828,56.0040000000000000,53.9229999999999950,56.5580000000000000,55.0250000000000000,59.0070000000000000,58.3859999999999960,27.5940000000000000
"2022-03-06 01:00:00",260.9157288135593220,55.9540000000000000,53.9259999999999950,56.5560000000000000,55.0280000000000000,59.0060000000000000,58.3870000000000000,27.7150000000000000
"2022-03-06 00:45:00",264.9935000000000000,56.0060000000000000,53.9409999999999950,56.5560000000000000,55.0220000000000000,59.0070000000000000,58.3810000000000000,27.7210000000000000
"2022-03-06 00:30:00",184.1352622950819672,56.0150000000000000,53.9079999999999940,56.5570000000000000,55.0220000000000000,59.0070000000000000,58.3810000000000000,27.7140000000000000
"2022-03-06 00:15:00",266.1794642857142857,55.8280000000000000,53.9090000000000000,56.5600000000000000,55.0190000000000000,59.0049999999999950,58.3870000000000000,27.7480000000000000
